80	20
18 148	4 16	17 109	6 76	1 60	19 196	11 135	13 88	16 9	10 199	5 161	9 60	12 7	15 54	8 146	14 159	0 66	7 64	2 89	3 90
7 128	16 146	10 1	14 35	18 10	11 84	6 46	4 123	5 81	1 96	3 86	9 135	17 31	0 1	8 149	13 54	2 22	12 131	19 178	15 31
1 60	17 48	13 57	8 77	11 189	0 101	2 151	12 67	6 160	16 99	9 116	10 127	19 123	3 89	15 89	5 15	14 10	4 155	7 158	18 8
17 125	4 42	12 135	5 28	10 171	16 191	3 47	7 120	1 140	0 69	15 150	8 14	18 197	13 195	11 89	2 122	14 48	6 119	19 39	9 99
9 41	2 84	19 135	15 92	0 96	17 110	10 43	12 146	11 29	14 61	7 95	1 105	5 191	8 65	4 30	13 184	18 48	16 180	6 138	3 59
18 59	8 88	2 128	15 101	9 68	0 155	3 76	10 92	4 34	19 182	16 167	11 41	1 5	7 69	17 195	5 15	13 82	14 56	12 118	6 52
0 172	13 6	8 115	17 9	7 148	14 138	2 47	9 33	1 97	12 21	15 39	18 165	19 147	10 16	6 91	4 100	11 162	5 80	3 112	16 168
11 196	3 69	5 79	2 85	15 17	9 132	12 91	17 10	8 66	0 57	1 63	16 67	4 145	13 79	18 52	7 36	14 144	6 114	19 150	10 150
19 155	5 62	15 103	1 52	4 75	14 43	11 155	9 90	2 108	16 121	3 126	18 137	17 117	10 108	7 150	0 89	13 126	6 67	8 186	12 162
15 42	0 165	2 196	17 198	13 159	4 9	5 51	16 41	9 11	1 159	11 100	10 2	6 129	7 36	19 151	18 95	3 137	8 60	14 156	12 90
18 183	3 46	19 145	2 144	4 28	8 42	1 42	16 192	7 121	5 8	6 138	15 130	14 128	17 198	12 146	9 198	10 45	11 194	0 95	13 130
17 185	0 180	12 105	13 30	3 114	10 66	5 120	9 173	16 162	11 77	19 122	7 111	4 97	8 54	6 173	14 16	1 49	18 110	2 101	15 138
0 156	9 8	18 21	6 29	3 86	11 85	16 80	8 73	1 28	19 136	17 108	15 61	4 35	14 137	13 103	7 142	10 28	5 135	2 33	12 179
