50	5
1 173	0 96	4 197	2 73	3 164
4 146	3 84	0 62	1 180	2 100
2 56	1 88	3 102	0 111	4 8
1 63	0 15	4 84	3 28	2 199
4 188	2 134	1 81	3 123	0 188
3 46	1 138	4 146	2 175	0 77
2 174	4 42	3 60	1 49	0 79
4 161	2 101	3 196	1 147	0 161
1 79	0 37	3 26	4 100	2 132
4 115	1 197	3 174	2 112	0 142
1 166	4 41	3 33	2 47	0 42
4 43	1 32	0 170	3 159	2 64
1 192	4 44	0 137	2 54	3 64
4 100	2 52	0 113	1 190	3 22
0 132	1 37	3 29	4 97	2 159
3 79	4 31	0 77	1 152	2 178
4 7	1 103	2 83	0 130	3 88
3 50	1 162	2 153	0 54	4 58
1 129	4 58	3 93	2 87	0 159
4 35	1 151	3 55	0 9	2 101
1 72	2 132	0 26	3 8	4 53
2 117	4 119	0 10	3 26	1 41
3 151	1 30	0 45	2 46	4 143
1 43	2 64	4 94	0 134	3 117
4 68	2 137	0 16	3 67	1 9
3 71	1 164	0 29	4 196	2 177
3 7	2 121	0 133	1 137	4 177
3 43	1 98	0 130	2 171	4 172
3 126	1 194	4 15	2 34	0 97
1 42	2 20	0 38	4 176	3 35
1 103	4 197	0 158	2 26	3 47
2 169	3 32	1 106	0 100	4 2
4 126	2 97	1 169	0 45	3 152
2 28	0 9	4 96	1 86	3 110
4 140	1 199	0 47	2 56	3 190
2 40	0 15	4 143	3 77	1 123
3 22	2 19	1 36	0 15	4 38
1 108	4 158	0 172	3 28	2 62
3 165	1 141	2 166	4 116	0 37
1 70	2 24	0 138	3 33	4 36
3 134	1 64	4 196	0 185	2 35
2 168	3 198	1 77	0 59	4 150
1 41	0 139	2 185	3 165	4 192
1 135	0 45	4 166	3 177	2 43
0 124	4 45	1 111	3 97	2 177
0 72	3 199	2 106	4 108	1 16
2 6	3 119	0 79	1 3	4 159
0 19	1 53	2 61	4 173	3 11
1 34	4 42	3 46	2 172	0 128
0 7	4 11	3 20	2 13	1 133
