60	5
3 64	4 22	2 62	1 127	0 79
3 180	1 73	4 192	0 83	2 49
4 107	1 49	2 193	0 172	3 160
3 81	2 199	0 135	1 95	4 104
2 139	1 114	4 90	3 4	0 87
1 26	2 169	0 103	3 191	4 183
2 166	0 164	4 177	3 124	1 80
1 164	0 106	2 60	4 152	3 113
3 18	4 139	0 125	2 200	1 5
2 82	3 25	4 13	1 8	0 63
4 16	3 181	0 165	2 139	1 111
4 20	2 86	1 101	0 144	3 39
1 143	0 72	3 70	4 142	2 116
3 2	1 99	2 129	0 154	4 25
0 94	1 50	4 107	2 7	3 101
1 131	2 23	4 197	3 190	0 14
2 45	1 70	3 134	0 161	4 115
1 132	4 58	3 67	0 111	2 94
2 49	4 66	0 57	3 100	1 13
0 62	1 16	3 125	2 161	4 70
1 169	4 165	3 12	0 169	2 57
1 116	2 112	3 65	0 15	4 198
3 10	1 51	4 27	0 196	2 156
2 29	4 68	1 41	3 57	0 54
4 110	3 186	0 189	1 40	2 152
1 111	2 50	3 152	0 144	4 125
1 158	2 135	4 154	0 186	3 139
4 135	3 181	2 190	0 171	1 79
2 1	0 43	3 79	4 149	1 14
4 11	2 25	1 49	0 183	3 38
0 178	4 192	1 110	3 137	2 74
4 174	2 52	1 131	0 133	3 193
1 139	3 123	4 147	2 185	0 194
1 71	4 70	2 127	3 165	0 31
3 56	1 40	2 167	4 184	0 80
1 1	4 104	0 166	3 126	2 118
2 6	3 64	4 2	1 88	0 20
4 103	3 92	2 83	0 153	1 93
2 178	4 40	0 135	3 27	1 198
0 91	2 58	3 14	1 34	4 77
2 64	0 29	4 113	3 176	1 28
2 45	3 62	1 8	4 166	0 12
0 22	3 174	4 166	1 103	2 3
1 10	3 197	0 151	4 178	2 192
1 22	2 158	4 82	3 151	0 103
4 61	3 148	2 115	1 177	0 33
2 174	3 16	4 178	0 49	1 147
2 147	3 188	1 31	4 151	0 177
1 43	4 140	0 11	2 106	3 104
3 107	1 123	2 23	4 95	0 103
0 13	4 103	2 184	3 125	1 15
2 151	3 140	4 106	1 71	0 155
3 147	0 14	2 128	4 104	1 3
4 28	1 194	2 90	0 181	3 28
1 58	0 131	4 24	2 123	3 23
3 103	0 60	4 46	2 129	1 5
0 51	3 22	2 109	1 66	4 164
0 7	3 53	4 1	2 111	1 168
2 160	1 194	0 158	4 122	3 25
0 96	2 188	3 158	4 195	1 94
