30	5
3 50	2 61	4 73	0 45	1 160
3 186	1 176	0 175	4 110	2 29
4 166	2 118	1 17	0 189	3 57
2 104	0 17	4 133	1 138	3 135
0 104	2 24	1 94	4 64	3 18
0 196	3 197	1 92	4 120	2 192
1 123	2 24	4 57	3 172	0 95
1 7	4 72	3 178	0 40	2 32
1 38	0 87	3 66	4 8	2 102
2 126	4 138	3 157	1 108	0 1
1 36	0 194	2 150	3 143	4 142
1 119	0 69	4 2	3 2	2 110
4 129	3 18	2 173	0 53	1 179
1 119	4 120	0 11	2 139	3 9
2 125	1 87	4 88	0 118	3 47
2 99	1 188	0 123	4 68	3 154
2 114	4 111	0 78	1 161	3 64
0 23	2 44	3 23	1 55	4 73
0 133	2 105	1 170	3 88	4 61
0 47	2 136	4 192	1 157	3 68
2 32	0 102	3 47	1 6	4 146
4 126	1 90	2 171	3 121	0 59
0 46	3 70	2 11	4 175	1 43
3 17	0 129	4 37	1 193	2 61
4 118	1 61	2 140	0 118	3 120
3 136	4 88	2 125	1 89	0 200
1 132	4 112	3 194	2 121	0 19
4 81	1 18	2 134	3 79	0 58
3 168	4 200	0 9	2 17	1 157
4 3	1 140	3 73	0 55	2 112
