80	10
0 130	9 107	7 158	1 77	8 18	5 40	4 73	2 119	3 124	6 185
9 26	3 50	6 81	0 154	5 11	4 142	1 118	7 88	2 171	8 52
7 20	3 156	1 18	6 23	8 56	9 49	0 125	2 78	4 189	5 156
6 158	4 13	5 101	2 164	8 128	0 114	7 52	3 109	1 104	9 109
7 56	9 72	5 57	8 66	1 53	2 125	3 94	6 171	4 102	0 83
4 149	3 71	8 194	5 154	1 138	7 142	6 8	2 42	0 170	9 150
2 10	8 120	7 194	0 96	3 136	9 163	5 35	4 22	1 8	6 38
6 34	2 64	0 80	9 129	8 41	3 197	4 193	5 169	7 110	1 134
8 92	6 85	0 77	2 57	4 180	5 197	9 141	7 38	1 156	3 178
6 4	9 12	0 149	8 191	1 179	5 28	4 63	7 96	2 182	3 51
3 76	9 136	7 98	8 95	5 7	0 50	1 6	4 64	2 30	6 63
8 79	6 59	7 77	3 114	2 108	4 108	1 16	0 140	5 52	9 120
0 14	4 94	8 85	9 78	1 99	5 155	7 68	3 10	2 59	6 101
3 83	6 35	0 65	9 131	1 171	8 58	2 46	4 89	5 33	7 140
0 106	6 145	1 128	5 24	4 26	7 129	9 131	8 100	3 194	2 100
6 167	3 133	5 8	7 97	4 143	8 12	9 49	2 66	1 200	0 115
1 143	8 38	6 114	7 25	5 140	2 137	4 177	9 178	3 133	0 163
9 186	0 97	2 9	8 63	3 80	4 164	6 148	1 117	7 23	5 22
0 91	9 85	8 56	1 185	6 155	5 135	7 42	2 127	4 55	3 86
1 82	6 153	7 13	8 93	5 130	0 142	4 35	3 13	9 185	2 156
4 83	6 80	1 28	3 74	8 186	0 81	5 9	9 172	7 62	2 158
3 116	1 67	7 181	9 195	0 82	8 49	4 6	5 114	2 136	6 76
0 170	9 56	4 73	7 14	6 5	5 106	1 59	2 82	3 100	8 63
8 76	5 197	2 77	4 169	6 64	3 112	1 60	9 198	0 14	7 154
8 44	9 148	5 88	1 142	0 98	3 62	7 186	4 5	6 63	2 195
8 195	5 109	4 141	0 92	2 157	6 111	9 103	1 26	7 145	3 6
9 16	5 171	4 97	3 68	7 59	1 172	2 87	8 108	0 71	6 139
6 74	2 100	5 93	1 195	3 64	9 132	7 167	4 172	0 63	8 111
2 135	1 123	4 197	6 129	3 148	5 28	7 50	8 175	0 136	9 154
7 35	2 78	8 121	1 151	0 21	6 4	9 129	3 157	4 74	5 96
4 26	7 174	3 134	1 142	6 85	9 61	2 174	5 133	8 196	0 181
3 113	4 76	7 150	8 41	9 64	5 194	1 168	6 184	0 84	2 171
1 179	6 73	4 34	7 127	2 128	9 141	3 116	8 21	5 129	0 59
4 32	7 82	8 18	5 156	2 103	3 169	9 18	6 41	0 166	1 15
4 78	2 114	5 74	8 189	1 80	7 51	3 115	0 171	6 161	9 56
6 192	3 95	4 10	2 144	5 52	0 157	8 90	9 30	7 167	1 142
0 4	4 187	3 98	1 128	6 165	9 93	5 77	7 40	8 187	2 158
3 29	6 39	2 77	4 185	8 148	0 89	1 161	5 12	7 197	9 111
5 133	4 192	6 83	8 50	3 102	9 191	2 11	1 70	7 108	0 129
0 12	8 159	7 20	1 185	5 57	9 159	6 84	4 191	2 107	3 23
4 65	1 41	6 33	8 179	9 149	5 143	2 31	0 79	7 91	3 138
1 112	9 98	4 38	5 98	2 148	8 45	3 58	0 181	6 74	7 95
2 99	9 6	7 49	1 92	0 168	4 39	8 52	5 170	3 160	6 24
7 60	6 105	4 33	0 153	3 128	9 163	5 8	8 89	1 69	2 94
7 94	4 116	0 35	2 24	3 78	1 10	8 77	9 6	5 192	6 52
4 125	7 9	2 147	9 76	0 11	3 172	5 18	1 198	8 96	6 162
3 145	1 140	5 81	6 107	4 180	0 81	9 162	7 182	8 107	2 63
5 81	2 68	0 68	7 126	3 147	6 75	1 47	8 150	9 63	4 142
0 156	9 186	6 64	1 10	7 4	5 156	8 111	3 148	4 121	2 126
0 109	3 38	1 61	7 135	5 20	4 84	2 99	9 184	6 193	8 80
1 146	9 112	3 100	6 77	7 199	8 113	2 50	5 108	4 130	0 150
6 131	2 150	9 1	1 2	3 126	4 24	7 2	0 161	5 81	8 62
5 163	1 99	7 24	9 194	8 46	3 158	0 137	6 184	2 26	4 85
6 120	5 123	3 35	7 57	1 126	0 129	2 32	8 150	9 167	4 45
2 164	6 131	9 8	1 163	3 139	7 117	5 200	4 168	0 188	8 180
2 179	7 28	1 183	5 166	6 85	3 109	0 113	4 127	8 169	9 165
2 57	8 8	5 142	3 36	1 75	6 123	4 36	0 199	9 176	7 113
8 175	0 118	2 70	3 100	7 20	5 30	6 32	9 174	1 55	4 185
0 106	2 136	9 146	1 146	4 165	8 142	5 124	6 32	3 96	7 199
6 147	7 15	9 133	1 189	0 92	8 189	2 64	5 1	4 142	3 65
8 83	7 166	6 160	9 99	1 94	0 196	4 15	3 27	2 130	5 73
5 194	7 155	6 49	4 128	3 140	1 60	2 146	0 175	8 185	9 61
7 37	9 85	1 118	8 197	6 79	0 156	5 106	2 93	4 100	3 79
9 94	0 82	2 96	8 32	3 84	5 109	4 13	6 131	7 117	1 17
9 40	0 47	5 78	7 119	3 67	1 84	2 147	6 48	4 121	8 99
2 18	1 156	6 189	7 168	3 80	5 66	9 183	4 166	8 32	0 16
4 30	5 63	7 2	0 48	2 156	1 39	3 59	8 167	9 135	6 152
0 91	4 154	7 64	9 130	3 150	2 17	6 94	8 72	5 172	1 134
5 91	9 69	7 175	4 8	3 122	0 40	6 13	8 25	2 106	1 95
8 141	1 12	0 109	5 153	7 169	3 70	9 146	6 167	4 108	2 131
3 78	1 61	4 131	2 2	5 88	0 48	9 133	8 144	6 123	7 72
7 82	3 123	5 66	2 127	0 25	8 128	4 55	1 21	6 24	9 138
2 128	6 194	0 111	9 35	4 151	3 119	5 130	8 133	7 84	1 148
4 175	0 131	1 35	5 134	9 19	8 134	2 77	3 20	6 55	7 106
1 145	7 198	3 51	4 13	6 194	0 24	2 2	9 170	5 171	8 139
7 31	3 175	8 115	6 193	9 48	1 31	4 133	0 136	2 59	5 164
1 195	8 40	4 81	2 8	9 157	3 143	0 57	5 143	7 67	6 86
4 97	5 119	2 90	1 177	0 13	8 54	3 96	6 175	9 120	7 84
8 152	3 22	4 70	6 37	5 150	2 68	9 101	1 23	7 14	0 60
9 143	7 131	3 17	8 6	5 180	0 44	2 107	1 45	4 171	6 124
