40	10
2 46	5 50	4 46	0 47	9 48	8 56	3 45	1 51	7 50	6 49
4 50	6 45	2 47	1 51	3 53	9 51	7 39	5 52	8 51	0 58
0 58	1 43	4 47	6 47	9 56	7 65	5 46	8 50	3 49	2 52
6 45	7 53	4 52	8 51	2 44	5 42	9 54	0 55	3 44	1 51
1 57	2 57	5 54	9 58	8 50	0 48	3 49	7 57	6 50	4 48
5 51	8 56	4 45	3 56	7 52	2 47	0 54	1 46	9 49	6 50
5 49	9 55	8 48	6 48	1 53	0 53	2 55	7 51	4 48	3 55
6 48	3 52	0 56	4 48	2 48	8 49	1 53	7 53	5 44	9 55
0 56	9 51	8 56	4 47	6 56	7 47	5 49	2 53	1 54	3 44
9 51	1 52	7 56	6 49	4 51	3 53	8 54	5 47	0 52	2 55
5 63	1 46	6 49	4 45	0 55	2 59	8 46	7 50	9 49	3 46
1 58	8 47	3 54	2 50	4 44	0 53	9 52	5 47	6 48	7 51
9 49	6 54	7 56	1 48	2 47	3 58	5 44	8 46	4 62	0 49
6 49	1 48	8 52	4 47	7 52	0 43	5 47	3 60	9 50	2 47
8 50	0 54	3 44	4 43	2 54	1 52	9 58	7 55	6 52	5 48
5 49	1 53	0 53	2 53	7 49	9 45	3 49	8 36	6 46	4 52
7 57	3 50	8 43	9 42	6 48	4 57	5 48	0 51	1 52	2 55
7 52	1 46	6 59	3 48	9 57	5 48	8 46	2 47	0 50	4 48
7 59	9 52	4 50	0 51	2 54	3 47	5 45	8 63	1 51	6 56
8 52	2 56	9 58	1 60	7 59	3 43	5 46	0 54	6 52	4 52
0 51	1 59	5 58	6 45	8 50	9 59	3 51	7 53	2 54	4 55
6 49	3 55	9 52	8 56	1 48	0 48	7 49	4 51	2 53	5 49
8 52	2 53	0 52	5 53	9 45	7 57	3 48	1 45	4 47	6 51
0 48	4 56	6 54	9 42	7 52	2 51	1 43	8 44	5 39	3 46
4 46	0 50	9 58	1 59	5 64	3 52	8 48	7 43	6 46	2 52
4 47	3 52	1 44	7 47	8 48	0 50	2 53	5 43	6 37	9 42
5 52	6 40	0 57	9 45	7 54	8 50	4 45	1 58	3 44	2 59
5 49	9 46	3 54	7 49	0 49	8 50	4 46	6 49	2 56	1 49
9 56	8 49	1 45	2 48	4 58	5 54	0 53	7 41	3 39	6 56
8 50	6 49	4 48	7 58	1 48	2 48	9 51	5 56	0 47	3 54
9 50	1 60	8 54	6 37	5 48	7 51	0 54	3 52	4 50	2 50
1 43	0 49	2 56	6 54	8 45	7 40	3 55	4 54	5 50	9 49
6 42	1 53	5 50	4 48	8 44	7 55	2 43	0 56	3 53	9 45
1 53	4 57	8 59	3 58	5 50	9 46	2 50	6 43	0 57	7 48
2 53	4 46	1 51	3 48	5 49	6 57	0 62	8 52	7 57	9 56
8 53	0 51	4 59	3 56	9 55	7 51	6 51	2 47	1 61	5 54
9 51	7 49	8 47	1 45	0 54	2 58	3 52	5 45	6 48	4 48
7 49	6 50	1 44	4 50	3 48	9 49	2 50	0 55	5 53	8 53
6 48	0 54	4 44	8 52	3 43	1 42	7 48	9 47	2 51	5 44
2 53	4 59	1 61	6 50	5 54	8 48	0 56	9 57	7 53	3 39
