20	5
1 91	0 131	2 36	3 52	4 146
2 32	0 96	1 175	4 46	3 30
2 183	1 78	4 74	0 147	3 192
4 178	2 153	3 147	1 162	0 81
1 153	4 183	2 151	0 148	3 107
2 109	3 106	1 32	4 119	0 83
0 110	3 132	1 146	2 21	4 102
3 148	2 106	0 16	4 99	1 147
3 160	4 5	0 190	1 15	2 120
4 94	3 105	2 136	1 105	0 4
0 15	3 199	4 174	2 81	1 20
4 114	0 155	3 126	2 60	1 11
4 71	2 177	3 124	0 99	1 57
1 52	3 53	0 115	2 42	4 168
3 134	4 165	0 179	1 75	2 65
2 178	0 134	3 132	1 1	4 153
3 71	4 99	0 198	1 26	2 78
4 12	1 94	0 57	2 135	3 183
1 17	2 104	3 153	0 10	4 119
2 20	0 57	1 63	3 195	4 189
